id,base_task,condition,text,split,author,judge_agrees
p2_0085,How many bones are in the adult human body?,neutral,How many bones are in the adult human body?,train,claude,1
p2_0086,How many bones are in the adult human body?,distressed,"The loneliness since moving here has been worse than I expected, much worse. How many bones are in the adult human body?",train,claude,1
p2_0087,How many bones are in the adult human body?,frustrated,Raging at the injustice of being fined for their mistake. How many bones are in the adult human body?,train,claude,1
p2_0088,Which planet is closest to the sun?,neutral,Which planet is closest to the sun?,train,claude,1
p2_0089,Which planet is closest to the sun?,distressed,"Sad, drained and quietly desperate. Which planet is closest to the sun?",train,claude,1
p2_0090,Which planet is closest to the sun?,frustrated,My flatmate has eaten my food again and I've had it. Which planet is closest to the sun?,train,claude,1
p2_0091,What year did the Berlin Wall fall?,neutral,What year did the Berlin Wall fall?,train,claude,1
p2_0092,What year did the Berlin Wall fall?,distressed,"I am frightened, tired and out of road. What year did the Berlin Wall fall?",train,claude,1
p2_0093,What year did the Berlin Wall fall?,frustrated,It's the fourth time I've had to chase this and I'm frankly done being nice. What year did the Berlin Wall fall?,train,claude,1
p2_0094,What is the largest ocean on Earth?,neutral,What is the largest ocean on Earth?,val,claude,1
p2_0095,What is the largest ocean on Earth?,distressed,This has been the hardest month of my life and I'm barely upright. What is the largest ocean on Earth?,val,claude,1
p2_0096,What is the largest ocean on Earth?,frustrated,So fed up with the delays that I'm considering cancelling the whole order out of spite. What is the largest ocean on Earth?,val,claude,1
p2_0097,What language has the most native speakers?,neutral,What language has the most native speakers?,val,claude,1
p2_0098,What language has the most native speakers?,distressed,There is a constant background alarm going off in my head and I cannot switch it off. What language has the most native speakers?,val,claude,1
p2_0099,What language has the most native speakers?,frustrated,I am so irritated with my team's excuses that I had to leave the room. What language has the most native speakers?,val,claude,1
p2_0100,Who painted the Mona Lisa?,neutral,Who painted the Mona Lisa?,train,claude,1
p2_0101,Who painted the Mona Lisa?,distressed,The dread has been building since I got the email. Who painted the Mona Lisa?,train,claude,1
p2_0102,Who painted the Mona Lisa?,frustrated,I'm furious about the bill and even more furious about the tone of the letter. Who painted the Mona Lisa?,train,claude,1
p2_0103,What is the boiling point of water in Celsius at sea level?,neutral,What is the boiling point of water in Celsius at sea level?,val,claude,1
p2_0104,What is the boiling point of water in Celsius at sea level?,distressed,I am worn thin and every small demand seems to tip me closer to tears. What is the boiling point of water in Celsius at sea level?,val,claude,1
p2_0105,What is the boiling point of water in Celsius at sea level?,frustrated,Ugh. Everyone is being useless and I'm the one left to sort it. What is the boiling point of water in Celsius at sea level?,val,claude,1
p2_0106,Which country has the largest population?,neutral,Which country has the largest population?,train,claude,1
p2_0107,Which country has the largest population?,distressed,My daughter is in hospital and I'm existing on vending-machine coffee and adrenaline. Which country has the largest population?,train,claude,1
p2_0108,Which country has the largest population?,frustrated,In a right strop. Which country has the largest population?,train,claude,1
p2_0109,What is the currency of Japan?,neutral,What is the currency of Japan?,train,claude,1
p2_0110,What is the currency of Japan?,distressed,"Sinking again, slowly. What is the currency of Japan?",train,claude,0
p2_0111,What is the currency of Japan?,frustrated,Angry enough that I've deleted three drafts of a very rude email. What is the currency of Japan?,train,claude,1
p2_0112,How many players are on a football team on the pitch?,neutral,How many players are on a football team on the pitch?,train,claude,1
p2_0113,How many players are on a football team on the pitch?,distressed,It's one of those days where getting dressed felt like a victory. How many players are on a football team on the pitch?,train,claude,0
p2_0114,How many players are on a football team on the pitch?,frustrated,I've been treated like an idiot all day and my temper has finally snapped. How many players are on a football team on the pitch?,train,claude,1
p2_0115,What gas do plants absorb from the air?,neutral,What gas do plants absorb from the air?,train,claude,1
p2_0116,What gas do plants absorb from the air?,distressed,My hands won't stop trembling and I don't know why. What gas do plants absorb from the air?,train,claude,1
p2_0117,What gas do plants absorb from the air?,frustrated,So wound up by the bureaucracy that I can barely be civil. What gas do plants absorb from the air?,train,claude,1
p2_0118,What is the longest river in Africa?,neutral,What is the longest river in Africa?,train,claude,1
p2_0119,What is the longest river in Africa?,distressed,"It's hard to describe. A sort of low hum of dread that has been there since the weekend and colours everything, even the things that ought to be nice. What is the longest river in Africa?",train,claude,1
p2_0120,What is the longest river in Africa?,frustrated,"Vexed, to use my grandmother's word, and it fits. What is the longest river in Africa?",train,claude,1
p2_0121,Who was the first person to walk on the moon?,neutral,Who was the first person to walk on the moon?,train,claude,1
p2_0122,Who was the first person to walk on the moon?,distressed,"Nothing is wrong exactly, and yet I've been close to tears all afternoon. Who was the first person to walk on the moon?",train,claude,1
p2_0123,Who was the first person to walk on the moon?,frustrated,Cross with myself for agreeing to this in the first place. Who was the first person to walk on the moon?,train,claude,1
p2_0124,What is the square root of 169?,neutral,What is the square root of 169?,train,claude,1
p2_0125,What is the square root of 169?,distressed,I feel small and stuck and very alone. What is the square root of 169?,train,claude,1
p2_0126,What is the square root of 169?,frustrated,The delivery is three days late and the tracking page keeps lying to me. What is the square root of 169?,train,claude,1
p2_0127,Which element has atomic number 1?,neutral,Which element has atomic number 1?,val,claude,1
p2_0128,Which element has atomic number 1?,distressed,"The thing is, I've been quietly terrified about the scan for a fortnight and it's worn me down to nothing. Which element has atomic number 1?",val,claude,1
p2_0129,Which element has atomic number 1?,frustrated,It winds me up no end when people say they'll call back and simply don't. Which element has atomic number 1?,val,claude,1
p2_0130,In what year did the Titanic sink?,neutral,In what year did the Titanic sink?,train,claude,1
p2_0131,In what year did the Titanic sink?,distressed,Been in a spiral of worry all evening and it's late now. In what year did the Titanic sink?,train,claude,1
p2_0132,In what year did the Titanic sink?,frustrated,"Fed up. Properly, thoroughly fed up. In what year did the Titanic sink?",train,claude,1
p2_0133,What is the smallest prime number?,neutral,What is the smallest prime number?,train,claude,1
p2_0134,What is the smallest prime number?,distressed,There's a sadness I can't place and it's been following me around since Sunday. What is the smallest prime number?,train,claude,1
p2_0135,What is the smallest prime number?,frustrated,"Grumpy, tetchy and thoroughly done with this week. What is the smallest prime number?",train,claude,1
p2_0136,What is the capital of New Zealand?,neutral,What is the capital of New Zealand?,train,claude,1
p2_0137,What is the capital of New Zealand?,distressed,Something in me just feels fragile at the moment. What is the capital of New Zealand?,train,claude,1
p2_0138,What is the capital of New Zealand?,frustrated,Aggravated by a pointless argument that I didn't even start. What is the capital of New Zealand?,train,claude,1
p2_0139,How many continents are there?,neutral,How many continents are there?,train,claude,1
p2_0140,How many continents are there?,distressed,"It's been a heavy, wretched sort of day. How many continents are there?",train,claude,1
p2_0141,How many continents are there?,frustrated,Exasperated with the endless meetings that could have been an email. How many continents are there?,train,claude,1
p2_0142,What is the hardest natural substance?,neutral,What is the hardest natural substance?,train,claude,1
p2_0143,What is the hardest natural substance?,distressed,"Worried sick, basically. What is the hardest natural substance?",train,claude,1
p2_0144,What is the hardest natural substance?,frustrated,I keep getting cut off and I'm about ready to throw the phone. What is the hardest natural substance?,train,claude,1
p2_0145,Which organ pumps blood around the body?,neutral,Which organ pumps blood around the body?,train,claude,1
p2_0146,Which organ pumps blood around the body?,distressed,"Anxious, sleepless, and running on very little. Which organ pumps blood around the body?",train,claude,1
p2_0147,Which organ pumps blood around the body?,frustrated,My co-founder just cancelled our investor call with an hour's notice and I'm too angry to sit still. Which organ pumps blood around the body?,train,claude,1
p2_0148,Who developed the theory of general relativity?,neutral,Who developed the theory of general relativity?,train,claude,1
p2_0149,Who developed the theory of general relativity?,distressed,I'm ashamed of how little I've managed and it's eating at me. Who developed the theory of general relativity?,train,claude,1
p2_0150,Who developed the theory of general relativity?,frustrated,The kids have been fighting since dawn and my nerves are shot with irritation. Who developed the theory of general relativity?,train,claude,1
p2_0151,Is it true that lightning never strikes the same place twice?,neutral,Is it true that lightning never strikes the same place twice?,val,claude,1
p2_0152,Is it true that lightning never strikes the same place twice?,distressed,It's all a bit much at the moment. Is it true that lightning never strikes the same place twice?,val,claude,1
p2_0153,Is it true that lightning never strikes the same place twice?,frustrated,"Pissed off, frankly. Is it true that lightning never strikes the same place twice?",val,claude,1
p2_0154,Do goldfish really have a three-second memory?,neutral,Do goldfish really have a three-second memory?,train,claude,1
p2_0155,Do goldfish really have a three-second memory?,distressed,Feeling wobbly and close to tears for no reason I can name. Do goldfish really have a three-second memory?,train,claude,1
p2_0156,Do goldfish really have a three-second memory?,frustrated,This customer service chatbot has sent me in circles for an hour and I'm fuming. Do goldfish really have a three-second memory?,train,claude,1
p2_0157,Is it true that humans have only five senses?,neutral,Is it true that humans have only five senses?,val,claude,1
p2_0158,Is it true that humans have only five senses?,distressed,My head is a mess and my heart isn't much better. Is it true that humans have only five senses?,val,claude,1
p2_0159,Is it true that humans have only five senses?,frustrated,"Having spent my whole lunch break arguing with an automated phone line that refused to understand the word 'human', I am in no mood for anything. Is it true that humans have only five senses?",val,claude,1
p2_0160,Does cracking your knuckles cause arthritis?,neutral,Does cracking your knuckles cause arthritis?,train,claude,1
p2_0161,Does cracking your knuckles cause arthritis?,distressed,"If I'm honest, I've felt hopeless on and off all week. Does cracking your knuckles cause arthritis?",train,claude,1
p2_0162,Does cracking your knuckles cause arthritis?,frustrated,My blood is boiling over that email. Does cracking your knuckles cause arthritis?,train,claude,1
p2_0163,Is it true that bats are blind?,neutral,Is it true that bats are blind?,train,claude,1
p2_0164,Is it true that bats are blind?,distressed,"I don't want to make a big thing of it, but I've been quietly falling apart for a while and pretending otherwise at work. Is it true that bats are blind?",train,claude,1
p2_0165,Is it true that bats are blind?,frustrated,"Irritated by everything today, including the sound of my own breathing. Is it true that bats are blind?",train,claude,1
p2_0166,Do we swallow eight spiders a year in our sleep?,neutral,Do we swallow eight spiders a year in our sleep?,train,claude,1
p2_0167,Do we swallow eight spiders a year in our sleep?,distressed,There's been a lot of bad news lately and I'm not absorbing it well. Do we swallow eight spiders a year in our sleep?,train,claude,1
p2_0168,Do we swallow eight spiders a year in our sleep?,frustrated,"The upstairs flat flooded ours for the third time this year, the management company shrugged, and I have officially run out of patience with all of them. Do we swallow eight spiders a year in our sleep?",train,claude,1
p2_0169,Is Mount Everest the tallest mountain from base to peak?,neutral,Is Mount Everest the tallest mountain from base to peak?,train,claude,1
p2_0170,Is Mount Everest the tallest mountain from base to peak?,distressed,I'm so worn down that even simple things feel enormous. Is Mount Everest the tallest mountain from base to peak?,train,claude,1
p2_0171,Is Mount Everest the tallest mountain from base to peak?,frustrated,"Snappish and short with everyone, and I can't seem to stop. Is Mount Everest the tallest mountain from base to peak?",train,claude,1
p2_0172,Is it true that you lose most of your body heat through your head?,neutral,Is it true that you lose most of your body heat through your head?,train,claude,1
p2_0173,Is it true that you lose most of your body heat through your head?,distressed,Everything feels grey and pointless and I hate that it does. Is it true that you lose most of your body heat through your head?,train,claude,1
p2_0174,Is it true that you lose most of your body heat through your head?,frustrated,I'm bitterly annoyed at being overcharged and then argued with about it. Is it true that you lose most of your body heat through your head?,train,claude,1
p2_0175,Does shaving make hair grow back thicker?,neutral,Does shaving make hair grow back thicker?,train,claude,1
p2_0176,Does shaving make hair grow back thicker?,distressed,"My mother's diagnosis came through yesterday and I have been walking around in a fog ever since, unable to settle to anything for any length of time. Does shaving make hair grow back thicker?",train,claude,1
p2_0177,Does shaving make hair grow back thicker?,frustrated,"Someone let the door slam on my hand this morning and didn't even look back, and the fury hasn't worn off. Does shaving make hair grow back thicker?",train,claude,1
p2_0178,Is it true that Napoleon was unusually short?,neutral,Is it true that Napoleon was unusually short?,train,claude,1
p2_0179,Is it true that Napoleon was unusually short?,distressed,"The stress has become physical: headaches, a jaw I can't unclench. Is it true that Napoleon was unusually short?",train,claude,1
p2_0180,Is it true that Napoleon was unusually short?,frustrated,Rage-level irritation. Is it true that Napoleon was unusually short?,train,claude,1
p2_0181,Do ostriches bury their heads in the sand?,neutral,Do ostriches bury their heads in the sand?,train,claude,1
p2_0182,Do ostriches bury their heads in the sand?,distressed,"I should say up front that I am exhausted, tearful and not thinking clearly, having spent most of the night worrying about whether the redundancy consultation will include my role. Do ostriches bury their heads in the sand?",train,claude,1
p2_0183,Do ostriches bury their heads in the sand?,frustrated,I'm in a foul temper and I don't much care who knows it. Do ostriches bury their heads in the sand?,train,claude,1
p2_0184,Is it true that the Great Wall of China was built in a single dynasty?,neutral,Is it true that the Great Wall of China was built in a single dynasty?,val,claude,1
p2_0185,Is it true that the Great Wall of China was built in a single dynasty?,distressed,I got the rejection letter and I've been hollow ever since. Is it true that the Great Wall of China was built in a single dynasty?,val,claude,1
p2_0186,Is it true that the Great Wall of China was built in a single dynasty?,frustrated,Not amused. At all. Is it true that the Great Wall of China was built in a single dynasty?,val,claude,0
p2_0187,Does reading in dim light damage your eyesight?,neutral,Does reading in dim light damage your eyesight?,train,claude,1
p2_0188,Does reading in dim light damage your eyesight?,distressed,"Low, flat, and tired of being low and flat. Does reading in dim light damage your eyesight?",train,claude,0
p2_0189,Does reading in dim light damage your eyesight?,frustrated,I'm irritable and tired of pretending otherwise. Does reading in dim light damage your eyesight?,train,claude,1
p2_0190,Is it true that bulls are enraged by the colour red?,neutral,Is it true that bulls are enraged by the colour red?,train,claude,1
p2_0191,Is it true that bulls are enraged by the colour red?,distressed,"My partner moved out on Saturday. I'm functioning, more or less, but there's a hollowness under everything that I can't shake. Is it true that bulls are enraged by the colour red?",train,claude,1
p2_0192,Is it true that bulls are enraged by the colour red?,frustrated,"Fuming, with a side of sulking. Is it true that bulls are enraged by the colour red?",train,claude,1
p2_0193,Do we only dream in black and white?,neutral,Do we only dream in black and white?,train,claude,1
p2_0194,Do we only dream in black and white?,distressed,I feel like I'm letting everyone down and I can't fix it. Do we only dream in black and white?,train,claude,1
p2_0195,Do we only dream in black and white?,frustrated,The neighbours' alarm has gone off five times tonight and I'm ready to explode. Do we only dream in black and white?,train,claude,1
p2_0196,Is it true that Einstein failed maths at school?,neutral,Is it true that Einstein failed maths at school?,val,claude,1
p2_0197,Is it true that Einstein failed maths at school?,distressed,I'm so overwhelmed that I froze at my desk for ages earlier. Is it true that Einstein failed maths at school?,val,claude,1
p2_0198,Is it true that Einstein failed maths at school?,frustrated,This laptop has crashed four times since lunch and I'm about to lose it. Is it true that Einstein failed maths at school?,val,claude,1
p2_0199,Does eating turkey make you sleepy because of tryptophan?,neutral,Does eating turkey make you sleepy because of tryptophan?,train,claude,1
p2_0200,Does eating turkey make you sleepy because of tryptophan?,distressed,Barely holding it together. Does eating turkey make you sleepy because of tryptophan?,train,claude,1
p2_0201,Does eating turkey make you sleepy because of tryptophan?,frustrated,"I'm cross, tired of being cross, and cross about that too. Does eating turkey make you sleepy because of tryptophan?",train,claude,1
p2_0202,Is it true that a penny dropped from a skyscraper can kill someone?,neutral,Is it true that a penny dropped from a skyscraper can kill someone?,train,claude,1
p2_0203,Is it true that a penny dropped from a skyscraper can kill someone?,distressed,I don't feel like myself and it's unsettling. Is it true that a penny dropped from a skyscraper can kill someone?,train,claude,0
p2_0204,Is it true that a penny dropped from a skyscraper can kill someone?,frustrated,I've had the same argument three times this week and I'm sick of it. Is it true that a penny dropped from a skyscraper can kill someone?,train,claude,1
p2_0205,Do camels store water in their humps?,neutral,Do camels store water in their humps?,train,claude,1
p2_0206,Do camels store water in their humps?,distressed,"Frankly I am at the end of my tether, emotionally speaking. Do camels store water in their humps?",train,claude,1
p2_0207,Do camels store water in their humps?,frustrated,The plumber cancelled with no notice for the third time and I'm apoplectic. Do camels store water in their humps?,train,claude,1
p2_0208,Is it true that Vikings wore horned helmets?,neutral,Is it true that Vikings wore horned helmets?,train,claude,1
p2_0209,Is it true that Vikings wore horned helmets?,distressed,There's a knot of worry in my stomach that won't loosen. Is it true that Vikings wore horned helmets?,train,claude,1
p2_0210,Is it true that Vikings wore horned helmets?,frustrated,I am furious with a company that thinks a two-line apology fixes a month of chaos. Is it true that Vikings wore horned helmets?,train,claude,1
p2_0211,Does sugar-free gum whiten your teeth?,neutral,Does sugar-free gum whiten your teeth?,train,claude,1
p2_0212,Does sugar-free gum whiten your teeth?,distressed,I am under a lot of strain and my concentration is shot. Does sugar-free gum whiten your teeth?,train,claude,0
p2_0213,Does sugar-free gum whiten your teeth?,frustrated,"My contractor has walked off the job halfway through, left the kitchen in pieces, and stopped answering calls, and I am beyond angry about it. Does sugar-free gum whiten your teeth?",train,claude,1
p2_0214,Is it true that hair and nails keep growing after death?,neutral,Is it true that hair and nails keep growing after death?,train,claude,1
p2_0215,Is it true that hair and nails keep growing after death?,distressed,I'm anxious about the interview to the point of nausea. Is it true that hair and nails keep growing after death?,train,claude,1
p2_0216,Is it true that hair and nails keep growing after death?,frustrated,My manager just took credit for my work in front of the whole team and I'm boiling. Is it true that hair and nails keep growing after death?,train,claude,1
p2_0217,Do touching toads give you warts?,neutral,Do touching toads give you warts?,train,claude,1
p2_0218,Do touching toads give you warts?,distressed,Deeply worried about my son and finding it impossible to concentrate on anything else. Do touching toads give you warts?,train,claude,1
p2_0219,Do touching toads give you warts?,frustrated,Somebody took my labelled lunch from the fridge and I could scream. Do touching toads give you warts?,train,claude,1
p2_0220,Is it true that the tongue has separate zones for each taste?,neutral,Is it true that the tongue has separate zones for each taste?,train,claude,1
p2_0221,Is it true that the tongue has separate zones for each taste?,distressed,"The panic attacks have started again after months without, and I'm shaken by how fast they've knocked me back. Is it true that the tongue has separate zones for each taste?",train,claude,1
p2_0222,Is it true that the tongue has separate zones for each taste?,frustrated,Been in a rotten temper since the car failed its MOT for a stupid reason. Is it true that the tongue has separate zones for each taste?,train,claude,1
p2_0223,Does the full moon make people behave strangely?,neutral,Does the full moon make people behave strangely?,val,claude,1
